trial,side,baseline_left_hz,baseline_right_hz,stim_left_hz,stim_right_hz,delta_left_hz,delta_right_hz,steering_delta_hz
1,L,1.0,0.0,6.0,0.0,5.0,0.0,5.0
2,L,1.0,0.0,6.0,0.0,5.0,0.0,5.0
3,L,1.0,0.0,6.0,0.0,5.0,0.0,5.0
4,L,1.0,0.0,6.0,0.0,5.0,0.0,5.0
5,L,1.0,0.0,6.0,0.0,5.0,0.0,5.0
6,L,1.0,0.0,6.0,0.0,5.0,0.0,5.0
7,L,1.0,0.0,6.0,0.0,5.0,0.0,5.0
8,L,1.0,0.0,6.0,0.0,5.0,0.0,5.0
1,R,1.0,0.0,2.0,4.0,1.0,4.0,-3.0
2,R,1.0,0.0,2.0,4.0,1.0,4.0,-3.0
3,R,1.0,0.0,2.0,4.0,1.0,4.0,-3.0
4,R,1.0,0.0,2.0,4.0,1.0,4.0,-3.0
5,R,1.0,0.0,2.0,4.0,1.0,4.0,-3.0
6,R,1.0,0.0,2.0,4.0,1.0,4.0,-3.0
7,R,1.0,0.0,2.0,4.0,1.0,4.0,-3.0
8,R,1.0,0.0,2.0,4.0,1.0,4.0,-3.0
