condition,DNa02_L_n,DNa02_L_baseline_hz,DNa02_L_stim_hz,DNa02_L_delta_hz,DNa02_R_n,DNa02_R_baseline_hz,DNa02_R_stim_hz,DNa02_R_delta_hz,DNa02_ALL_n,DNa02_ALL_baseline_hz,DNa02_ALL_stim_hz,DNa02_ALL_delta_hz,DNp01_L_n,DNp01_L_baseline_hz,DNp01_L_stim_hz,DNp01_L_delta_hz,DNp01_R_n,DNp01_R_baseline_hz,DNp01_R_stim_hz,DNp01_R_delta_hz,DNp01_ALL_n,DNp01_ALL_baseline_hz,DNp01_ALL_stim_hz,DNp01_ALL_delta_hz,DNg100_L_n,DNg100_L_baseline_hz,DNg100_L_stim_hz,DNg100_L_delta_hz,DNg100_R_n,DNg100_R_baseline_hz,DNg100_R_stim_hz,DNg100_R_delta_hz,DNg100_ALL_n,DNg100_ALL_baseline_hz,DNg100_ALL_stim_hz,DNg100_ALL_delta_hz,MDN_L_n,MDN_L_baseline_hz,MDN_L_stim_hz,MDN_L_delta_hz,MDN_R_n,MDN_R_baseline_hz,MDN_R_stim_hz,MDN_R_delta_hz,MDN_ALL_n,MDN_ALL_baseline_hz,MDN_ALL_stim_hz,MDN_ALL_delta_hz,DNa02_steering_delta
LC10a_L,1,1.0,6.0,5.0,1,0.0,0.0,0.0,2,0.5,3.0,2.5,1,0.0,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,1.0,1.0,2,0.0,0.5,0.5,2,0.5,0.0,-0.5,2,0.5,0.5,0.0,4,0.5,0.25,-0.25,5.0
LC10a_R,1,1.0,2.0,1.0,1,0.0,4.0,4.0,2,0.5,3.0,2.5,1,0.0,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.5,0.0,-0.5,2,0.5,0.0,-0.5,4,0.5,0.0,-0.5,-3.0
LPLC1_L,1,1.0,3.0,2.0,1,0.0,0.0,0.0,2,0.5,1.5,1.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.5,0.0,-0.5,2,0.5,0.0,-0.5,4,0.5,0.0,-0.5,2.0
LPLC1_R,1,1.0,2.0,1.0,1,0.0,0.0,0.0,2,0.5,1.0,0.5,1,0.0,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.5,0.0,-0.5,2,0.5,0.0,-0.5,4,0.5,0.0,-0.5,1.0
LPLC2_L,1,1.0,2.0,1.0,1,0.0,0.0,0.0,2,0.5,1.0,0.5,1,0.0,18.0,18.0,1,0.0,0.0,0.0,2,0.0,9.0,9.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.5,0.0,-0.5,2,0.5,0.5,0.0,4,0.5,0.25,-0.25,1.0
LPLC2_R,1,1.0,2.0,1.0,1,0.0,0.0,0.0,2,0.5,1.0,0.5,1,0.0,0.0,0.0,1,0.0,20.0,20.0,2,0.0,10.0,10.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.5,0.0,-0.5,2,0.5,1.0,0.5,4,0.5,0.5,0.0,1.0
LC4_L,1,1.0,2.0,1.0,1,0.0,0.0,0.0,2,0.5,1.0,0.5,1,0.0,25.0,25.0,1,0.0,0.0,0.0,2,0.0,12.5,12.5,1,0.0,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.5,0.0,-0.5,2,0.5,0.5,0.0,4,0.5,0.25,-0.25,1.0
LC4_R,1,1.0,2.0,1.0,1,0.0,0.0,0.0,2,0.5,1.0,0.5,1,0.0,0.0,0.0,1,0.0,24.0,24.0,2,0.0,12.0,12.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.5,0.0,-0.5,2,0.5,0.0,-0.5,4,0.5,0.0,-0.5,1.0
LPLC1_BOTH,1,1.0,3.0,2.0,1,0.0,0.0,0.0,2,0.5,1.5,1.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.5,0.0,-0.5,2,0.5,0.0,-0.5,4,0.5,0.0,-0.5,2.0
LPLC2_BOTH,1,1.0,2.0,1.0,1,0.0,0.0,0.0,2,0.5,1.0,0.5,1,0.0,18.0,18.0,1,0.0,21.0,21.0,2,0.0,19.5,19.5,1,0.0,0.0,0.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.5,0.0,-0.5,2,0.5,0.0,-0.5,4,0.5,0.0,-0.5,1.0
