condition,cell_type,side,n_cells,mean_delta_hz,sd_delta_hz,positive_seeds,negative_seeds
LC10a_L,DNp01,R,1,0.1,0.22360679774997896,1,0
LC10a_L,DNp01,L,1,0.0,0.0,0,0
LC10a_L,DNp18,R,1,0.5,0.7905694150420949,3,1
LC10a_L,pIP1,L,1,0.2,0.27386127875258304,2,0
LC10a_L,DNg56,R,1,-0.4,0.4183300132670378,0,3
LC10a_L,pIP1,R,1,0.4,0.4183300132670378,3,0
LC10a_L,DNg100,L,1,-0.1,0.22360679774997896,0,1
LC10a_L,DNp18,L,1,0.5,0.7905694150420949,3,1
LC10a_L,DNpe013,R,1,0.1,0.6519202405202649,3,1
LC10a_L,DNg100,R,1,0.1,0.22360679774997896,1,0
LC10a_L,DNp20,R,1,0.1,0.22360679774997896,1,0
LC10a_L,DNp27,R,1,0.5,0.8660254037844386,2,0
LC10a_L,DNb05,R,1,0.0,0.0,0,0
LC10a_L,DNp30,R,1,-0.2,0.570087712549569,1,2
LC10a_L,aSP22,L,1,2.4,0.4183300132670378,5,0
LC10a_L,DNpe042,L,1,0.2,0.8366600265340756,2,1
LC10a_L,aSP22,R,1,-0.1,0.22360679774997896,0,1
LC10a_L,DNp11,R,1,-0.2,0.27386127875258304,0,2
LC10a_L,DNp02,R,1,0.6,0.5477225575051661,4,0
LC10a_L,DNb05,L,1,-0.2,0.6708203932499369,2,3
LC10a_L,DNg30,L,1,0.1,0.7416198487095663,2,1
LC10a_L,DNg105,L,1,0.3,0.4472135954999579,2,0
LC10a_L,DNg74_a,R,1,0.4,0.6519202405202649,2,0
LC10a_L,DNge031,L,1,0.3,1.036822067666386,3,2
LC10a_L,DNg15,L,1,0.0,1.6583123951777,2,3
LC10a_L,DNp30,L,1,0.4,0.6519202405202649,3,1
LC10a_L,DNge103,R,1,0.4,0.4183300132670378,3,0
LC10a_L,DNg90,L,1,0.5,0.6123724356957945,4,1
LC10a_L,DNp20,L,1,-0.2,0.758287544405155,1,3
LC10a_L,DNge036,L,1,0.0,0.0,0,0
LC10a_L,DNg16,L,1,-0.2,0.4472135954999579,0,1
LC10a_L,DNg75,L,1,0.3,0.27386127875258304,3,0
LC10a_L,DNp29,R,1,0.5,0.6123724356957945,4,1
LC10a_L,DNp02,L,1,0.2,0.4472135954999579,3,1
LC10a_L,DNge083,R,1,-0.2,0.8366600265340756,2,2
LC10a_L,DNge037,R,1,-0.1,0.9617692030835673,2,2
LC10a_L,DNg35,R,1,0.3,1.4832396974191326,3,1
LC10a_L,DNge037,L,1,0.1,0.7416198487095663,2,1
LC10a_L,DNpe056,L,1,-0.2,0.9082951062292475,1,2
LC10a_L,DNp06,L,1,0.3,0.9746794344808964,3,2
LC10a_L,DNp35,L,1,-0.1,0.22360679774997896,0,1
LC10a_L,DNg99,R,1,0.1,0.4183300132670378,2,1
LC10a_L,DNg30,R,1,0.0,0.7905694150420949,2,2
LC10a_L,DNp55,L,1,-0.1,0.4183300132670378,1,2
LC10a_L,DNp36,R,1,0.2,0.8366600265340756,2,2
LC10a_L,DNg74_a,L,1,0.2,0.27386127875258304,2,0
LC10a_L,DNp31,L,1,1.3,0.4472135954999579,5,0
LC10a_L,DNp11,L,1,0.2,0.758287544405155,1,1
LC10a_L,DNp31,R,1,0.3,0.4472135954999579,2,0
LC10a_L,DNg108,L,1,-0.2,0.4472135954999579,0,1
LC10a_L,DNp47,R,1,0.2,0.570087712549569,2,1
LC10a_L,DNg108,R,1,-0.1,0.4183300132670378,1,2
LC10a_L,DNp103,R,1,-0.7,0.27386127875258304,0,5
LC10a_L,DNpe053,L,1,0.1,0.6519202405202649,2,2
LC10a_L,DNg34,L,1,-0.1,0.4183300132670378,1,2
LC10a_L,DNge054,R,1,0.5,1.3693063937629153,3,2
LC10a_L,DNge050,L,1,-0.4,0.9617692030835673,1,2
LC10a_L,DNge041,R,1,-0.8,0.27386127875258304,0,5
LC10a_L,DNge031,R,1,-0.3,0.570087712549569,1,3
LC10a_L,DNg22,R,1,-0.7,0.570087712549569,0,4
LC10a_L,DNp19,L,1,0.5,0.0,5,0
LC10a_L,DNc02,R,1,0.0,0.0,0,0
LC10a_L,DNp73,R,1,0.0,0.0,0,0
LC10a_L,DNa02,R,1,0.0,0.3535533905932738,1,1
LC10a_L,DNg40,L,1,-0.1,0.22360679774997896,0,1
LC10a_L,DNp59,R,1,-0.2,0.6708203932499369,1,4
LC10a_L,DNge054,L,1,1.4,3.54259791678367,2,3
LC10a_L,DNa10,R,1,-1.1,0.6519202405202649,0,4
LC10a_L,DNp63,R,1,0.1,0.4183300132670378,2,1
LC10a_L,DNp13,R,1,2.1,0.6519202405202649,5,0
LC10a_L,DNg98,L,1,0.2,0.570087712549569,2,1
LC10a_L,DNb09,R,1,-1.3,0.9746794344808964,0,4
LC10a_L,DNde002,L,1,0.1,0.22360679774997896,1,0
LC10a_L,DNp103,L,1,-0.2,0.4472135954999579,1,3
LC10a_L,DNp10,L,1,0.1,0.8215838362577492,2,3
LC10a_L,DNp10,R,1,0.5,0.6123724356957945,3,0
LC10a_L,DNg16,R,1,-0.1,0.22360679774997896,0,1
LC10a_L,DNa01,L,1,0.3,0.570087712549569,3,1
LC10a_L,DNge035,L,1,0.0,0.6123724356957945,2,1
LC10a_L,DNp73,L,1,-0.1,0.22360679774997896,0,1
LC10a_L,DNge138,M,2,0.0,0.4330127018922193,1,3
LC10a_L,DNpe025,L,1,1.0,0.3535533905932738,5,0
LC10a_L,DNp13,L,1,1.5,0.3535533905932738,5,0
