seed,condition,output,side,n,baseline_hz,stim_hz,delta_hz
64,LC9_L,DNp09,L,1,0.0,9.0,9.0
64,LC9_L,DNp09,R,1,0.0,0.0,0.0
64,LC9_L,DNa01,L,1,0.5,0.5,0.0
64,LC9_L,DNa01,R,1,0.5,1.5,1.0
64,LC9_L,DNa02,L,1,1.5,1.5,0.0
64,LC9_L,DNa02,R,1,0.0,0.0,0.0
64,LC9_L,DNg100,L,1,0.0,0.0,0.0
64,LC9_L,DNg100,R,1,0.0,0.0,0.0
64,LC9_L,MDN,L,2,0.25,0.0,-0.25
64,LC9_L,MDN,R,2,0.25,0.5,0.25
64,LC9_L,DNp01,L,1,0.0,0.0,0.0
64,LC9_L,DNp01,R,1,0.0,0.0,0.0
64,LC9_R,DNp09,L,1,0.0,0.0,0.0
64,LC9_R,DNp09,R,1,0.0,10.5,10.5
64,LC9_R,DNa01,L,1,0.5,1.0,0.5
64,LC9_R,DNa01,R,1,0.5,0.0,-0.5
64,LC9_R,DNa02,L,1,1.5,0.5,-1.0
64,LC9_R,DNa02,R,1,0.0,0.0,0.0
64,LC9_R,DNg100,L,1,0.0,0.0,0.0
64,LC9_R,DNg100,R,1,0.0,0.5,0.5
64,LC9_R,MDN,L,2,0.25,0.25,0.0
64,LC9_R,MDN,R,2,0.25,0.5,0.25
64,LC9_R,DNp01,L,1,0.0,0.0,0.0
64,LC9_R,DNp01,R,1,0.0,0.0,0.0
64,LC9_BOTH,DNp09,L,1,0.0,8.0,8.0
64,LC9_BOTH,DNp09,R,1,0.0,9.0,9.0
64,LC9_BOTH,DNa01,L,1,0.5,1.0,0.5
64,LC9_BOTH,DNa01,R,1,0.5,0.5,0.0
64,LC9_BOTH,DNa02,L,1,1.5,1.0,-0.5
64,LC9_BOTH,DNa02,R,1,0.0,0.0,0.0
64,LC9_BOTH,DNg100,L,1,0.0,0.0,0.0
64,LC9_BOTH,DNg100,R,1,0.0,0.5,0.5
64,LC9_BOTH,MDN,L,2,0.25,0.5,0.25
64,LC9_BOTH,MDN,R,2,0.25,0.25,0.0
64,LC9_BOTH,DNp01,L,1,0.0,0.0,0.0
64,LC9_BOTH,DNp01,R,1,0.0,0.5,0.5
64,LC10a_L,DNp09,L,1,0.0,0.0,0.0
64,LC10a_L,DNp09,R,1,0.0,0.0,0.0
64,LC10a_L,DNa01,L,1,0.5,1.0,0.5
64,LC10a_L,DNa01,R,1,0.5,0.0,-0.5
64,LC10a_L,DNa02,L,1,1.5,5.0,3.5
64,LC10a_L,DNa02,R,1,0.0,0.0,0.0
64,LC10a_L,DNg100,L,1,0.0,0.0,0.0
64,LC10a_L,DNg100,R,1,0.0,0.0,0.0
64,LC10a_L,MDN,L,2,0.25,0.0,-0.25
64,LC10a_L,MDN,R,2,0.25,0.5,0.25
64,LC10a_L,DNp01,L,1,0.0,0.0,0.0
64,LC10a_L,DNp01,R,1,0.0,0.0,0.0
64,LC10a_R,DNp09,L,1,0.0,0.0,0.0
64,LC10a_R,DNp09,R,1,0.0,0.5,0.5
64,LC10a_R,DNa01,L,1,0.5,0.5,0.0
64,LC10a_R,DNa01,R,1,0.5,1.0,0.5
64,LC10a_R,DNa02,L,1,1.5,0.5,-1.0
64,LC10a_R,DNa02,R,1,0.0,3.0,3.0
64,LC10a_R,DNg100,L,1,0.0,0.0,0.0
64,LC10a_R,DNg100,R,1,0.0,0.0,0.0
64,LC10a_R,MDN,L,2,0.25,0.0,-0.25
64,LC10a_R,MDN,R,2,0.25,0.5,0.25
64,LC10a_R,DNp01,L,1,0.0,0.0,0.0
64,LC10a_R,DNp01,R,1,0.0,0.0,0.0
64,CHASE_L,DNp09,L,1,0.0,9.5,9.5
64,CHASE_L,DNp09,R,1,0.0,0.0,0.0
64,CHASE_L,DNa01,L,1,0.5,0.5,0.0
64,CHASE_L,DNa01,R,1,0.5,1.0,0.5
64,CHASE_L,DNa02,L,1,1.5,5.5,4.0
64,CHASE_L,DNa02,R,1,0.0,0.0,0.0
64,CHASE_L,DNg100,L,1,0.0,0.0,0.0
64,CHASE_L,DNg100,R,1,0.0,0.0,0.0
64,CHASE_L,MDN,L,2,0.25,0.0,-0.25
64,CHASE_L,MDN,R,2,0.25,0.5,0.25
64,CHASE_L,DNp01,L,1,0.0,0.0,0.0
64,CHASE_L,DNp01,R,1,0.0,0.0,0.0
64,CHASE_R,DNp09,L,1,0.0,0.0,0.0
64,CHASE_R,DNp09,R,1,0.0,11.5,11.5
64,CHASE_R,DNa01,L,1,0.5,1.0,0.5
64,CHASE_R,DNa01,R,1,0.5,0.0,-0.5
64,CHASE_R,DNa02,L,1,1.5,0.0,-1.5
64,CHASE_R,DNa02,R,1,0.0,3.5,3.5
64,CHASE_R,DNg100,L,1,0.0,0.0,0.0
64,CHASE_R,DNg100,R,1,0.0,0.5,0.5
64,CHASE_R,MDN,L,2,0.25,0.25,0.0
64,CHASE_R,MDN,R,2,0.25,0.5,0.25
64,CHASE_R,DNp01,L,1,0.0,0.0,0.0
64,CHASE_R,DNp01,R,1,0.0,0.0,0.0
64,CHASE_BOTH,DNp09,L,1,0.0,7.0,7.0
64,CHASE_BOTH,DNp09,R,1,0.0,9.0,9.0
64,CHASE_BOTH,DNa01,L,1,0.5,1.0,0.5
64,CHASE_BOTH,DNa01,R,1,0.5,1.0,0.5
64,CHASE_BOTH,DNa02,L,1,1.5,5.0,3.5
64,CHASE_BOTH,DNa02,R,1,0.0,3.0,3.0
64,CHASE_BOTH,DNg100,L,1,0.0,0.5,0.5
64,CHASE_BOTH,DNg100,R,1,0.0,0.5,0.5
64,CHASE_BOTH,MDN,L,2,0.25,0.25,0.0
64,CHASE_BOTH,MDN,R,2,0.25,0.5,0.25
64,CHASE_BOTH,DNp01,L,1,0.0,0.0,0.0
64,CHASE_BOTH,DNp01,R,1,0.0,0.0,0.0
65,LC9_L,DNp09,L,1,0.5,11.5,11.0
65,LC9_L,DNp09,R,1,0.0,0.0,0.0
65,LC9_L,DNa01,L,1,0.0,0.5,0.5
65,LC9_L,DNa01,R,1,0.0,1.0,1.0
65,LC9_L,DNa02,L,1,0.0,0.5,0.5
65,LC9_L,DNa02,R,1,0.5,0.5,0.0
65,LC9_L,DNg100,L,1,0.0,0.0,0.0
65,LC9_L,DNg100,R,1,0.0,0.0,0.0
65,LC9_L,MDN,L,2,0.5,0.25,-0.25
65,LC9_L,MDN,R,2,0.25,0.75,0.5
65,LC9_L,DNp01,L,1,0.0,0.0,0.0
65,LC9_L,DNp01,R,1,0.0,0.0,0.0
65,LC9_R,DNp09,L,1,0.5,0.0,-0.5
65,LC9_R,DNp09,R,1,0.0,9.5,9.5
65,LC9_R,DNa01,L,1,0.0,0.5,0.5
65,LC9_R,DNa01,R,1,0.0,0.0,0.0
65,LC9_R,DNa02,L,1,0.0,0.5,0.5
65,LC9_R,DNa02,R,1,0.5,1.0,0.5
65,LC9_R,DNg100,L,1,0.0,0.0,0.0
65,LC9_R,DNg100,R,1,0.0,0.0,0.0
65,LC9_R,MDN,L,2,0.5,0.5,0.0
65,LC9_R,MDN,R,2,0.25,0.75,0.5
65,LC9_R,DNp01,L,1,0.0,0.0,0.0
65,LC9_R,DNp01,R,1,0.0,0.5,0.5
65,LC9_BOTH,DNp09,L,1,0.5,9.0,8.5
65,LC9_BOTH,DNp09,R,1,0.0,8.5,8.5
65,LC9_BOTH,DNa01,L,1,0.0,0.5,0.5
65,LC9_BOTH,DNa01,R,1,0.0,0.5,0.5
65,LC9_BOTH,DNa02,L,1,0.0,1.0,1.0
65,LC9_BOTH,DNa02,R,1,0.5,1.0,0.5
65,LC9_BOTH,DNg100,L,1,0.0,0.0,0.0
65,LC9_BOTH,DNg100,R,1,0.0,0.0,0.0
65,LC9_BOTH,MDN,L,2,0.5,0.25,-0.25
65,LC9_BOTH,MDN,R,2,0.25,1.25,1.0
65,LC9_BOTH,DNp01,L,1,0.0,0.5,0.5
65,LC9_BOTH,DNp01,R,1,0.0,1.0,1.0
65,LC10a_L,DNp09,L,1,0.5,1.0,0.5
65,LC10a_L,DNp09,R,1,0.0,0.0,0.0
65,LC10a_L,DNa01,L,1,0.0,0.5,0.5
65,LC10a_L,DNa01,R,1,0.0,0.5,0.5
65,LC10a_L,DNa02,L,1,0.0,4.5,4.5
65,LC10a_L,DNa02,R,1,0.5,0.0,-0.5
65,LC10a_L,DNg100,L,1,0.0,0.0,0.0
65,LC10a_L,DNg100,R,1,0.0,0.0,0.0
65,LC10a_L,MDN,L,2,0.5,0.25,-0.25
65,LC10a_L,MDN,R,2,0.25,0.5,0.25
65,LC10a_L,DNp01,L,1,0.0,0.0,0.0
65,LC10a_L,DNp01,R,1,0.0,0.5,0.5
65,LC10a_R,DNp09,L,1,0.5,0.5,0.0
65,LC10a_R,DNp09,R,1,0.0,0.5,0.5
65,LC10a_R,DNa01,L,1,0.0,0.5,0.5
65,LC10a_R,DNa01,R,1,0.0,1.0,1.0
65,LC10a_R,DNa02,L,1,0.0,0.0,0.0
65,LC10a_R,DNa02,R,1,0.5,3.0,2.5
65,LC10a_R,DNg100,L,1,0.0,0.0,0.0
65,LC10a_R,DNg100,R,1,0.0,0.0,0.0
65,LC10a_R,MDN,L,2,0.5,0.25,-0.25
65,LC10a_R,MDN,R,2,0.25,0.75,0.5
65,LC10a_R,DNp01,L,1,0.0,0.0,0.0
65,LC10a_R,DNp01,R,1,0.0,0.0,0.0
65,CHASE_L,DNp09,L,1,0.5,11.0,10.5
65,CHASE_L,DNp09,R,1,0.0,0.0,0.0
65,CHASE_L,DNa01,L,1,0.0,0.5,0.5
65,CHASE_L,DNa01,R,1,0.0,1.0,1.0
