seed,amount,output,n_cells,baseline_hz,stim_hz,delta_hz
64,0.05,DNp01,2,0.0,4.25,4.25
64,0.05,DNp02,2,0.5,4.25,3.75
64,0.05,DNp04,2,1.0,9.5,8.5
64,0.05,DNp11,2,0.25,2.25,2.0
64,0.1,DNp01,2,0.0,9.0,9.0
64,0.1,DNp02,2,0.5,8.0,7.5
64,0.1,DNp04,2,1.0,16.0,15.0
64,0.1,DNp11,2,0.25,4.75,4.5
64,0.2,DNp01,2,0.0,13.75,13.75
64,0.2,DNp02,2,0.5,12.5,12.0
64,0.2,DNp04,2,1.0,24.75,23.75
64,0.2,DNp11,2,0.25,7.5,7.25
64,0.3,DNp01,2,0.0,17.5,17.5
64,0.3,DNp02,2,0.5,16.25,15.75
64,0.3,DNp04,2,1.0,28.25,27.25
64,0.3,DNp11,2,0.25,9.5,9.25
64,0.4,DNp01,2,0.0,24.0,24.0
64,0.4,DNp02,2,0.5,22.5,22.0
64,0.4,DNp04,2,1.0,25.0,24.0
64,0.4,DNp11,2,0.25,13.25,13.0
64,0.5,DNp01,2,0.0,24.0,24.0
64,0.5,DNp02,2,0.5,22.0,21.5
64,0.5,DNp04,2,1.0,30.25,29.25
64,0.5,DNp11,2,0.25,13.0,12.75
64,0.6,DNp01,2,0.0,24.75,24.75
64,0.6,DNp02,2,0.5,21.75,21.25
64,0.6,DNp04,2,1.0,44.75,43.75
64,0.6,DNp11,2,0.25,13.0,12.75
64,0.8,DNp01,2,0.0,42.0,42.0
64,0.8,DNp02,2,0.5,31.5,31.0
64,0.8,DNp04,2,1.0,49.5,48.5
64,0.8,DNp11,2,0.25,24.75,24.5
64,1.0,DNp01,2,0.0,44.75,44.75
64,1.0,DNp02,2,0.5,31.25,30.75
64,1.0,DNp04,2,1.0,49.5,48.5
64,1.0,DNp11,2,0.25,25.0,24.75
65,0.05,DNp01,2,0.0,5.0,5.0
65,0.05,DNp02,2,0.25,4.5,4.25
65,0.05,DNp04,2,0.25,9.75,9.5
65,0.05,DNp11,2,0.5,2.5,2.0
65,0.1,DNp01,2,0.0,9.25,9.25
65,0.1,DNp02,2,0.25,7.75,7.5
65,0.1,DNp04,2,0.25,16.75,16.5
65,0.1,DNp11,2,0.5,5.0,4.5
65,0.2,DNp01,2,0.0,14.75,14.75
65,0.2,DNp02,2,0.25,12.75,12.5
65,0.2,DNp04,2,0.25,25.0,24.75
65,0.2,DNp11,2,0.5,8.0,7.5
65,0.3,DNp01,2,0.0,17.75,17.75
65,0.3,DNp02,2,0.25,16.0,15.75
65,0.3,DNp04,2,0.25,27.75,27.5
65,0.3,DNp11,2,0.5,9.75,9.25
65,0.4,DNp01,2,0.0,24.0,24.0
65,0.4,DNp02,2,0.25,21.75,21.5
65,0.4,DNp04,2,0.25,25.75,25.5
65,0.4,DNp11,2,0.5,12.75,12.25
65,0.5,DNp01,2,0.0,24.5,24.5
65,0.5,DNp02,2,0.25,22.0,21.75
65,0.5,DNp04,2,0.25,25.25,25.0
65,0.5,DNp11,2,0.5,12.75,12.25
65,0.6,DNp01,2,0.0,24.75,24.75
65,0.6,DNp02,2,0.25,22.5,22.25
65,0.6,DNp04,2,0.25,40.25,40.0
65,0.6,DNp11,2,0.5,13.0,12.5
65,0.8,DNp01,2,0.0,44.0,44.0
65,0.8,DNp02,2,0.25,30.75,30.5
65,0.8,DNp04,2,0.25,49.5,49.25
65,0.8,DNp11,2,0.5,24.75,24.25
65,1.0,DNp01,2,0.0,43.5,43.5
65,1.0,DNp02,2,0.25,31.0,30.75
65,1.0,DNp04,2,0.25,49.5,49.25
65,1.0,DNp11,2,0.5,25.0,24.5
66,0.05,DNp01,2,0.0,5.25,5.25
66,0.05,DNp02,2,0.0,4.5,4.5
66,0.05,DNp04,2,0.25,9.0,8.75
66,0.05,DNp11,2,0.25,2.75,2.5
66,0.1,DNp01,2,0.0,9.5,9.5
66,0.1,DNp02,2,0.0,8.25,8.25
66,0.1,DNp04,2,0.25,17.0,16.75
66,0.1,DNp11,2,0.25,5.0,4.75
66,0.2,DNp01,2,0.0,14.25,14.25
66,0.2,DNp02,2,0.0,12.5,12.5
66,0.2,DNp04,2,0.25,25.0,24.75
66,0.2,DNp11,2,0.25,8.0,7.75
66,0.3,DNp01,2,0.0,17.75,17.75
66,0.3,DNp02,2,0.0,16.5,16.5
66,0.3,DNp04,2,0.25,28.75,28.5
66,0.3,DNp11,2,0.25,10.0,9.75
66,0.4,DNp01,2,0.0,24.5,24.5
66,0.4,DNp02,2,0.0,23.25,23.25
66,0.4,DNp04,2,0.25,25.25,25.0
66,0.4,DNp11,2,0.25,12.75,12.5
66,0.5,DNp01,2,0.0,23.75,23.75
66,0.5,DNp02,2,0.0,23.5,23.5
66,0.5,DNp04,2,0.25,28.0,27.75
66,0.5,DNp11,2,0.25,13.0,12.75
66,0.6,DNp01,2,0.0,24.75,24.75
66,0.6,DNp02,2,0.0,21.75,21.75
66,0.6,DNp04,2,0.25,44.0,43.75
66,0.6,DNp11,2,0.25,13.25,13.0
66,0.8,DNp01,2,0.0,42.75,42.75
66,0.8,DNp02,2,0.0,29.75,29.75
66,0.8,DNp04,2,0.25,49.5,49.25
66,0.8,DNp11,2,0.25,24.25,24.0
66,1.0,DNp01,2,0.0,45.25,45.25
66,1.0,DNp02,2,0.0,31.25,31.25
66,1.0,DNp04,2,0.25,49.5,49.25
66,1.0,DNp11,2,0.25,25.0,24.75
67,0.05,DNp01,2,0.0,4.25,4.25
67,0.05,DNp02,2,0.25,4.25,4.0
67,0.05,DNp04,2,0.5,9.25,8.75
67,0.05,DNp11,2,0.5,2.5,2.0
67,0.1,DNp01,2,0.0,9.0,9.0
67,0.1,DNp02,2,0.25,8.0,7.75
67,0.1,DNp04,2,0.5,16.75,16.25
67,0.1,DNp11,2,0.5,4.75,4.25
67,0.2,DNp01,2,0.0,13.75,13.75
67,0.2,DNp02,2,0.25,12.5,12.25
67,0.2,DNp04,2,0.5,25.0,24.5
67,0.2,DNp11,2,0.5,7.5,7.0
67,0.3,DNp01,2,0.0,17.25,17.25
67,0.3,DNp02,2,0.25,16.5,16.25
67,0.3,DNp04,2,0.5,30.0,29.5
67,0.3,DNp11,2,0.5,9.25,8.75
67,0.4,DNp01,2,0.0,24.0,24.0
67,0.4,DNp02,2,0.25,23.5,23.25
67,0.4,DNp04,2,0.5,25.0,24.5
67,0.4,DNp11,2,0.5,12.75,12.25
67,0.5,DNp01,2,0.0,24.5,24.5
67,0.5,DNp02,2,0.25,22.25,22.0
67,0.5,DNp04,2,0.5,30.75,30.25
67,0.5,DNp11,2,0.5,12.75,12.25
67,0.6,DNp01,2,0.0,24.75,24.75
67,0.6,DNp02,2,0.25,22.25,22.0
67,0.6,DNp04,2,0.5,37.0,36.5
67,0.6,DNp11,2,0.5,13.0,12.5
67,0.8,DNp01,2,0.0,41.25,41.25
67,0.8,DNp02,2,0.25,32.0,31.75
67,0.8,DNp04,2,0.5,49.5,49.0
67,0.8,DNp11,2,0.5,24.5,24.0
67,1.0,DNp01,2,0.0,45.25,45.25
67,1.0,DNp02,2,0.25,31.75,31.5
67,1.0,DNp04,2,0.5,49.5,49.0
67,1.0,DNp11,2,0.5,25.0,24.5
68,0.05,DNp01,2,0.0,4.75,4.75
68,0.05,DNp02,2,0.5,4.25,3.75
68,0.05,DNp04,2,0.5,9.75,9.25
68,0.05,DNp11,2,0.0,2.75,2.75
68,0.1,DNp01,2,0.0,8.5,8.5
68,0.1,DNp02,2,0.5,8.25,7.75
68,0.1,DNp04,2,0.5,17.0,16.5
68,0.1,DNp11,2,0.0,4.75,4.75
68,0.2,DNp01,2,0.0,13.5,13.5
68,0.2,DNp02,2,0.5,12.75,12.25
68,0.2,DNp04,2,0.5,24.75,24.25
68,0.2,DNp11,2,0.0,7.25,7.25
68,0.3,DNp01,2,0.0,17.75,17.75
68,0.3,DNp02,2,0.5,16.25,15.75
68,0.3,DNp04,2,0.5,28.75,28.25
68,0.3,DNp11,2,0.0,9.5,9.5
68,0.4,DNp01,2,0.0,24.5,24.5
68,0.4,DNp02,2,0.5,22.5,22.0
68,0.4,DNp04,2,0.5,25.0,24.5
68,0.4,DNp11,2,0.0,13.0,13.0
68,0.5,DNp01,2,0.0,25.0,25.0
68,0.5,DNp02,2,0.5,22.25,21.75
68,0.5,DNp04,2,0.5,32.5,32.0
68,0.5,DNp11,2,0.0,12.75,12.75
68,0.6,DNp01,2,0.0,24.75,24.75
68,0.6,DNp02,2,0.5,22.25,21.75
68,0.6,DNp04,2,0.5,45.25,44.75
68,0.6,DNp11,2,0.0,13.0,13.0
68,0.8,DNp01,2,0.0,44.0,44.0
68,0.8,DNp02,2,0.5,31.75,31.25
68,0.8,DNp04,2,0.5,49.5,49.0
68,0.8,DNp11,2,0.0,24.75,24.75
68,1.0,DNp01,2,0.0,44.75,44.75
68,1.0,DNp02,2,0.5,32.0,31.5
68,1.0,DNp04,2,0.5,49.5,49.0
68,1.0,DNp11,2,0.0,25.0,25.0
