seed,condition,sim_time,shots,hits,accuracy,kills,survivors,blue_survivors,red_survivors,focus_blue,focus_red,focus_max_blue,focus_max_red,target_switches,spread_blue,spread_red,mean_heard,max_heard,heard_pct,mean_song,descending_hz,DNp01_hz
184,no_audio,9.679999999999882,47,22,0.46808510638297873,6,2,2,0,1.4359504132231404,1.0,3,1,4,373.70106383091183,431.6821670173343,0.0,0.0,0.0,0.7727324647147481,3563.5213414634145,0.23628048780487804
184,audio,10.039999999999875,41,23,0.5609756097560976,7,1,1,0,1.0,1.1653386454183268,1,3,4,329.50864033581416,310.4967156052784,0.32000279585663455,0.800000011920929,92.63525305410121,0.7868760883704113,3572.425828970331,0.46247818499127397
185,no_audio,45.000000000001435,39,21,0.5384615384615384,6,2,1,1,1.02803738317757,1.8457943925233644,2,3,5,285.99607991773223,355.9072211361532,0.0,0.0,0.0,0.7011770350958711,3500.9447004608296,0.1881720430107527
185,audio,8.339999999999911,41,20,0.4878048780487805,5,3,3,0,1.3573141486810552,1.3381294964028776,3,2,12,393.2121485090434,356.142133284372,0.30675505782247786,0.800000011920929,94.67864547339323,0.735556318583617,3599.049758120249,0.55286800276434
186,no_audio,14.819999999999773,44,20,0.45454545454545453,6,2,0,2,1.1012145748987854,1.5870445344129556,2,3,7,333.3860484979093,298.130473259193,0.0,0.0,0.0,0.5919149657658168,3633.183673469388,0.2857142857142857
186,audio,8.299999999999912,37,21,0.5675675675675675,6,2,2,0,1.2795180722891566,1.0144578313253012,2,2,6,450.31111908164837,313.4468365693504,0.2446222248401086,0.800000011920929,90.87089381207029,0.5952826577165456,3675.3246753246754,0.4201680672268907
187,no_audio,8.239999999999913,42,17,0.40476190476190477,4,4,4,0,1.6699029126213591,1.0,3,1,4,354.2636621916745,395.9197471768061,0.0,0.0,0.0,0.6981237196776232,3634.3090537780804,0.21272974812797824
187,audio,19.339999999999677,53,23,0.4339622641509434,7,1,0,1,1.1363163371488034,1.0790842872008324,2,2,4,375.02015561054714,424.6498574071475,0.2165292223147975,0.800000011920929,82.31451236584228,0.6836035936945685,3669.2020531964536,0.4199720018665422
188,no_audio,9.479999999999887,46,21,0.45652173913043476,5,3,0,3,1.1835443037974684,1.4261603375527425,2,2,5,319.34985983880296,375.9224530716798,0.0,0.0,0.0,0.7772563551599688,3613.3925835121054,0.2681581366840331
188,audio,7.359999999999931,37,22,0.5945945945945946,7,1,0,1,1.1766304347826086,1.1603260869565217,2,2,4,333.91116215451245,372.2513601584454,0.33101079116606125,0.800000011920929,95.95761381475667,0.7712323397070497,3603.021978021978,0.618131868131868
189,no_audio,7.299999999999932,39,21,0.5384615384615384,5,3,0,3,1.0,1.2356164383561643,1,3,3,354.1625845296873,363.7048501867502,0.0,0.0,0.0,0.7574252878090383,3695.5357142857147,0.32798833819241985
189,audio,9.479999999999887,35,20,0.5714285714285714,5,3,3,0,1.1687763713080168,1.0,2,1,2,399.4125118337288,437.97122304701986,0.2602338548528341,0.800000011920929,91.17752970831833,0.7404888333886228,3716.1145120633773,0.405113431760893
